Demo code showing how to estimate human head pose.

There are three major steps:
1. Detect and crop the human faces in the video frame.
2. Run facial landmark detection on the face image.
3. Estimate the pose by solving a PnP problem.

For more details, please refer to:
https://github.com/yinguobing/head-pose-estimation

OpenCV version: 4.11.0
Webcam source: 0 (buffer size set to 1 for low latency)
Controlling Xorg cursor with fir filter
Screen resolution: 1920x1200
Showing all cursor filters for comparison
pitch: 7.14, yaw: -4.29, roll: 179.61
pitch: 6.36, yaw: -3.85, roll: 179.21
pitch: 6.54, yaw: -5.46, roll: 179.71
pitch: 5.74, yaw: -6.43, roll: 179.62
pitch: 5.92, yaw: -6.19, roll: 179.77
pitch: 6.41, yaw: -4.66, roll: 179.73
pitch: 7.17, yaw: -3.15, roll: -179.97
pitch: 7.07, yaw: -3.13, roll: -179.90
pitch: 7.67, yaw: -1.24, roll: -178.98
pitch: 7.93, yaw: 0.10, roll: -179.19
pitch: 8.06, yaw: -0.18, roll: -178.70
pitch: 9.06, yaw: 1.27, roll: -178.11
pitch: 8.24, yaw: 3.15, roll: -177.06
pitch: 6.71, yaw: 5.63, roll: -176.11
pitch: 6.57, yaw: 6.25, roll: -175.89
pitch: 6.58, yaw: 6.91, roll: -175.74
pitch: 5.28, yaw: 6.79, roll: -175.53
pitch: 6.17, yaw: 7.66, roll: -175.41
pitch: 5.30, yaw: 7.34, roll: -175.48
pitch: 5.60, yaw: 7.71, roll: -175.58
pitch: 5.53, yaw: 6.23, roll: -175.44
pitch: 6.02, yaw: 5.13, roll: -175.82
pitch: 6.36, yaw: 4.31, roll: -175.88
pitch: 7.54, yaw: 3.07, roll: -177.24
pitch: 5.89, yaw: 3.31, roll: -179.06
pitch: 5.54, yaw: 2.07, roll: -179.45
pitch: 5.64, yaw: 0.38, roll: 179.63
pitch: 4.90, yaw: -1.18, roll: 178.89
pitch: 3.85, yaw: -0.88, roll: 178.13
pitch: 4.58, yaw: -1.59, roll: 177.27
pitch: 4.07, yaw: -2.14, roll: 177.19
pitch: 3.24, yaw: -3.77, roll: 177.40
pitch: 2.99, yaw: -4.98, roll: 177.11
pitch: 0.97, yaw: -7.64, roll: 177.26
pitch: -0.56, yaw: -8.46, roll: 176.67
pitch: -0.32, yaw: -9.34, roll: 176.87
pitch: -0.04, yaw: -9.44, roll: 176.51
pitch: -0.07, yaw: -9.97, roll: 177.36
pitch: -0.48, yaw: -10.97, roll: 178.86
pitch: 1.97, yaw: -12.25, roll: 178.88
pitch: 3.99, yaw: -10.59, roll: 179.40
pitch: 4.35, yaw: -7.60, roll: -179.67
pitch: 6.54, yaw: -5.81, roll: -179.62
pitch: 5.81, yaw: -4.31, roll: -178.53
pitch: 6.13, yaw: -3.98, roll: -177.40
pitch: 6.49, yaw: -1.73, roll: -176.28
pitch: 6.98, yaw: -0.52, roll: -175.42
pitch: 6.41, yaw: 1.43, roll: -174.37
pitch: 5.96, yaw: 3.51, roll: -173.88
pitch: 5.76, yaw: 3.60, roll: -173.76
pitch: 5.50, yaw: 3.56, roll: -174.05
pitch: 6.01, yaw: 3.97, roll: -173.60
pitch: 5.94, yaw: 4.34, roll: -174.28
pitch: 6.56, yaw: 4.67, roll: -173.97
pitch: 6.60, yaw: 6.61, roll: -173.45
pitch: 6.42, yaw: 6.92, roll: -175.28
pitch: 6.40, yaw: 6.06, roll: -178.07
pitch: 5.19, yaw: 4.23, roll: 179.16
pitch: 4.29, yaw: 2.33, roll: 177.61
pitch: 3.06, yaw: 1.17, roll: 176.80
pitch: 1.59, yaw: 1.07, roll: 176.08
pitch: -1.08, yaw: -0.97, roll: 175.49
pitch: -4.06, yaw: -3.60, roll: 175.02
pitch: -3.28, yaw: -4.98, roll: 175.65
pitch: -3.05, yaw: -5.36, roll: 175.93
pitch: -3.62, yaw: -4.92, roll: 176.10
pitch: -5.88, yaw: -4.22, roll: 176.52
pitch: -5.65, yaw: -3.63, roll: 177.25
pitch: -7.33, yaw: -3.38, roll: 177.89
pitch: -6.45, yaw: -2.66, roll: 178.26
pitch: -5.93, yaw: -2.37, roll: 178.42
pitch: -6.01, yaw: -2.97, roll: 178.08
pitch: -6.22, yaw: -3.31, roll: 177.64
pitch: -1.91, yaw: -3.92, roll: 176.80
pitch: 0.32, yaw: -3.15, roll: 176.75
pitch: 0.22, yaw: -1.84, roll: 178.12
pitch: 1.95, yaw: -1.21, roll: 178.74
pitch: 3.65, yaw: 0.11, roll: 178.51
pitch: 4.43, yaw: -0.34, roll: 179.34
pitch: 4.45, yaw: 0.19, roll: 179.97
pitch: 5.22, yaw: 0.90, roll: -179.57
pitch: 4.86, yaw: 1.33, roll: -179.73
pitch: 3.77, yaw: 0.87, roll: -179.69
pitch: 4.26, yaw: 1.20, roll: -179.74
pitch: 6.94, yaw: 2.82, roll: -179.35
pitch: 9.82, yaw: 4.18, roll: -178.50
pitch: 10.62, yaw: 3.88, roll: -177.93
pitch: 11.10, yaw: 4.74, roll: -177.89
pitch: 11.34, yaw: 5.52, roll: -177.71
pitch: 10.96, yaw: 5.34, roll: -178.04
pitch: 10.68, yaw: 4.96, roll: -178.53
pitch: 10.30, yaw: 5.07, roll: -178.66
pitch: 10.61, yaw: 5.35, roll: -178.41
pitch: 10.31, yaw: 5.02, roll: -178.56
pitch: 10.04, yaw: 5.01, roll: -178.34
pitch: 9.66, yaw: 4.48, roll: -178.48
pitch: 7.01, yaw: 3.03, roll: -179.10
pitch: 6.07, yaw: 2.17, roll: -178.82
pitch: 4.03, yaw: -0.42, roll: -178.99
pitch: 3.92, yaw: -3.29, roll: 180.00
pitch: 3.92, yaw: -4.07, roll: 179.46
pitch: 3.10, yaw: -4.88, roll: 179.21
pitch: 3.20, yaw: -6.81, roll: 179.97
pitch: 2.31, yaw: -8.82, roll: 179.99
pitch: 2.45, yaw: -10.14, roll: 179.95
pitch: 2.77, yaw: -11.35, roll: 179.72
pitch: 3.17, yaw: -10.95, roll: 179.78
pitch: 3.37, yaw: -11.36, roll: 179.71
pitch: 3.40, yaw: -10.95, roll: -179.82
pitch: 3.69, yaw: -9.29, roll: -179.85
pitch: 5.21, yaw: -8.33, roll: 179.91
pitch: 6.66, yaw: -5.84, roll: -179.93
pitch: 6.08, yaw: -2.04, roll: -179.85
pitch: 6.40, yaw: -1.28, roll: -179.49
pitch: 6.80, yaw: -0.02, roll: -178.70
pitch: 7.55, yaw: 2.01, roll: -177.83
pitch: 7.62, yaw: 3.72, roll: -177.74
pitch: 6.89, yaw: 5.55, roll: -176.01
pitch: 6.32, yaw: 5.82, roll: -175.61
pitch: 7.03, yaw: 5.17, roll: -174.91
pitch: 7.68, yaw: 5.05, roll: -174.95
pitch: 7.90, yaw: 5.07, roll: -174.70
pitch: 8.37, yaw: 5.63, roll: -175.56
pitch: 8.76, yaw: 5.83, roll: -176.31
pitch: 8.57, yaw: 5.92, roll: -176.71
pitch: 11.29, yaw: 6.67, roll: -176.36
pitch: 13.21, yaw: 6.72, roll: -176.89
pitch: 12.18, yaw: 6.40, roll: -176.94
pitch: 12.25, yaw: 6.70, roll: -176.41
pitch: 11.54, yaw: 6.78, roll: -176.61
pitch: 11.88, yaw: 6.71, roll: -176.87
pitch: 10.53, yaw: 6.25, roll: -177.03
pitch: 9.99, yaw: 5.77, roll: -177.65
pitch: 10.27, yaw: 5.88, roll: -177.70
pitch: 11.17, yaw: 5.62, roll: -177.43
pitch: 12.64, yaw: 4.96, roll: -177.69
pitch: 12.51, yaw: 4.96, roll: -177.83
pitch: 13.22, yaw: 6.13, roll: -177.47
pitch: 11.13, yaw: 7.00, roll: -177.45
pitch: 8.35, yaw: 5.40, roll: -178.26
pitch: 6.09, yaw: 1.76, roll: -178.72
pitch: 4.97, yaw: -0.45, roll: -179.62
pitch: 4.72, yaw: -3.05, roll: -179.58
pitch: 3.41, yaw: -4.98, roll: 179.88
pitch: 3.00, yaw: -5.45, roll: 179.80
pitch: 3.47, yaw: -6.55, roll: 179.64
pitch: 2.85, yaw: -6.48, roll: 179.27
pitch: 2.96, yaw: -7.25, roll: 179.03
pitch: 3.40, yaw: -7.23, roll: 179.08
pitch: 2.49, yaw: -7.81, roll: 178.93
pitch: 2.37, yaw: -7.43, roll: 179.36
pitch: 3.49, yaw: -8.11, roll: 179.64
pitch: 6.11, yaw: -7.27, roll: 179.59
pitch: 7.09, yaw: -5.49, roll: 179.55
pitch: 6.87, yaw: -4.37, roll: -179.64
pitch: 6.54, yaw: -3.45, roll: -178.94
pitch: 6.70, yaw: -1.12, roll: -178.14
pitch: 6.81, yaw: -1.28, roll: -178.16
pitch: 6.99, yaw: -0.08, roll: -178.19
pitch: 7.64, yaw: 0.30, roll: -178.29
pitch: 7.32, yaw: 1.55, roll: -178.10
pitch: 7.19, yaw: 1.77, roll: -178.02
pitch: 7.78, yaw: 2.25, roll: -178.25
pitch: 7.66, yaw: 2.55, roll: -177.79
pitch: 7.30, yaw: 2.03, roll: -177.80
pitch: 7.08, yaw: 2.21, roll: -178.00
pitch: 8.01, yaw: 2.37, roll: -177.75
pitch: 8.17, yaw: 2.36, roll: -177.58
pitch: 8.15, yaw: 2.69, roll: -177.56
pitch: 7.92, yaw: 2.26, roll: -177.42
pitch: 7.38, yaw: 2.41, roll: -177.26
pitch: 7.77, yaw: 2.67, roll: -177.42
pitch: 7.20, yaw: 2.44, roll: -177.64
