Demo code showing how to estimate human head pose.

There are three major steps:
1. Detect and crop the human faces in the video frame.
2. Run facial landmark detection on the face image.
3. Estimate the pose by solving a PnP problem.

For more details, please refer to:
https://github.com/yinguobing/head-pose-estimation

OpenCV version: 4.11.0
Webcam source: 0 (buffer size set to 1 for low latency)
Controlling Xorg cursor with fir filter
Screen resolution: 1920x1200
Showing all cursor filters for comparison
pitch: 6.19, yaw: -10.32, roll: -179.97
pitch: 6.36, yaw: -10.39, roll: 179.93
pitch: 5.83, yaw: -10.06, roll: 179.98
pitch: 5.83, yaw: -9.59, roll: -179.92
pitch: 5.84, yaw: -10.05, roll: 179.79
pitch: 5.96, yaw: -9.87, roll: 179.56
pitch: 5.64, yaw: -10.00, roll: 179.51
pitch: 5.74, yaw: -9.67, roll: 179.75
pitch: 6.00, yaw: -9.61, roll: 179.46
pitch: 5.97, yaw: -9.59, roll: 179.74
pitch: 5.47, yaw: -9.93, roll: 179.52
pitch: 5.80, yaw: -9.72, roll: 179.58
pitch: 5.83, yaw: -9.38, roll: 179.60
pitch: 5.33, yaw: -10.50, roll: 179.63
pitch: 5.66, yaw: -9.48, roll: 179.65
pitch: 5.68, yaw: -10.23, roll: 179.62
pitch: 5.80, yaw: -10.10, roll: 179.37
pitch: 5.64, yaw: -10.64, roll: 179.48
pitch: 5.71, yaw: -10.19, roll: 179.56
pitch: 5.20, yaw: -9.99, roll: 179.40
pitch: 5.83, yaw: -9.59, roll: 179.55
pitch: 5.94, yaw: -9.73, roll: 179.58
pitch: 5.86, yaw: -9.80, roll: 179.45
pitch: 6.06, yaw: -9.58, roll: 179.65
pitch: 6.11, yaw: -9.65, roll: 179.48
pitch: 5.83, yaw: -10.01, roll: 179.44
pitch: 5.81, yaw: -9.67, roll: 179.47
pitch: 5.84, yaw: -9.84, roll: 179.59
pitch: 5.69, yaw: -9.93, roll: 179.39
pitch: 5.72, yaw: -9.81, roll: 179.52
pitch: 5.70, yaw: -9.88, roll: 179.37
pitch: 5.78, yaw: -10.01, roll: 179.45
pitch: 5.89, yaw: -10.43, roll: 179.43
pitch: 6.05, yaw: -9.88, roll: 179.46
pitch: 5.99, yaw: -9.72, roll: 179.46
pitch: 5.79, yaw: -9.73, roll: 179.39
pitch: 6.12, yaw: -9.84, roll: 179.29
pitch: 5.92, yaw: -9.85, roll: 179.36
pitch: 5.98, yaw: -9.87, roll: 179.37
pitch: 5.68, yaw: -9.92, roll: 179.33
pitch: 5.96, yaw: -9.81, roll: 179.31
pitch: 5.61, yaw: -9.89, roll: 179.43
pitch: 5.86, yaw: -8.83, roll: 179.50
pitch: 5.69, yaw: -10.21, roll: 179.27
pitch: 5.72, yaw: -10.47, roll: 179.33
pitch: 5.78, yaw: -10.12, roll: 179.16
pitch: 5.40, yaw: -9.64, roll: 179.30
