Demo code showing how to estimate human head pose.

There are three major steps:
1. Detect and crop the human faces in the video frame.
2. Run facial landmark detection on the face image.
3. Estimate the pose by solving a PnP problem.

For more details, please refer to:
https://github.com/yinguobing/head-pose-estimation

OpenCV version: 4.11.0
Webcam source: 0 (buffer size set to 1 for low latency)
Controlling Xorg cursor with fir filter
Screen resolution: 1920x1200
Showing all cursor filters for comparison
pitch: -0.68, yaw: 5.71, roll: -177.03
pitch: 0.16, yaw: 5.30, roll: -176.48
pitch: 0.38, yaw: 5.60, roll: -176.26
pitch: 0.16, yaw: 5.80, roll: -175.98
pitch: -0.47, yaw: 6.37, roll: -176.33
pitch: -0.60, yaw: 6.51, roll: -176.14
pitch: 0.70, yaw: 5.93, roll: -175.73
pitch: -0.37, yaw: 6.40, roll: -176.22
pitch: -0.07, yaw: 6.57, roll: -175.95
pitch: 0.04, yaw: 6.57, roll: -175.87
pitch: 0.23, yaw: 6.25, roll: -176.12
pitch: -0.10, yaw: 6.67, roll: -176.08
pitch: 0.16, yaw: 6.42, roll: -175.70
pitch: 0.08, yaw: 6.49, roll: -175.83
pitch: 0.49, yaw: 6.55, roll: -175.71
pitch: 0.26, yaw: 6.81, roll: -175.76
pitch: 0.13, yaw: 6.23, roll: -175.96
pitch: 0.07, yaw: 6.54, roll: -175.76
pitch: 0.55, yaw: 6.25, roll: -175.56
pitch: 0.43, yaw: 6.45, roll: -175.50
pitch: 0.28, yaw: 6.62, roll: -175.62
pitch: -0.28, yaw: 6.47, roll: -175.89
pitch: 0.44, yaw: 6.47, roll: -175.73
pitch: 0.49, yaw: 6.64, roll: -175.63
pitch: 0.29, yaw: 6.06, roll: -175.99
pitch: 0.35, yaw: 6.36, roll: -175.58
pitch: 0.76, yaw: 6.64, roll: -175.58
pitch: 0.92, yaw: 6.16, roll: -175.59
pitch: 0.61, yaw: 5.90, roll: -175.43
pitch: 0.94, yaw: 5.93, roll: -175.31
pitch: 0.25, yaw: 6.21, roll: -175.57
pitch: 0.46, yaw: 5.95, roll: -175.35
pitch: 0.68, yaw: 5.91, roll: -175.43
pitch: 0.16, yaw: 6.33, roll: -175.64
pitch: 0.67, yaw: 5.99, roll: -175.47
pitch: 1.11, yaw: 6.35, roll: -175.68
pitch: 1.57, yaw: 6.63, roll: -175.07
pitch: 1.18, yaw: 6.52, roll: -175.18
pitch: 0.99, yaw: 6.43, roll: -175.57
pitch: 0.72, yaw: 6.68, roll: -175.39
pitch: 0.60, yaw: 6.25, roll: -175.52
pitch: 0.51, yaw: 6.43, roll: -175.75
pitch: 0.13, yaw: 7.20, roll: -175.73
pitch: 1.25, yaw: 6.27, roll: -175.63
pitch: 0.62, yaw: 6.66, roll: -175.72
pitch: 1.31, yaw: 6.67, roll: -175.47
pitch: 0.50, yaw: 6.81, roll: -175.88
pitch: -0.51, yaw: 6.77, roll: -176.23
pitch: 0.88, yaw: 6.63, roll: -175.44
pitch: 1.00, yaw: 6.67, roll: -175.31
pitch: 1.29, yaw: 6.07, roll: -175.24
pitch: 0.61, yaw: 6.25, roll: -175.60
pitch: 1.12, yaw: 6.22, roll: -175.22
pitch: 1.32, yaw: 6.17, roll: -175.51
pitch: 0.45, yaw: 6.54, roll: -175.37
pitch: 0.78, yaw: 6.70, roll: -175.60
pitch: 1.35, yaw: 6.36, roll: -175.53
pitch: 1.30, yaw: 6.53, roll: -175.29
pitch: 0.35, yaw: 6.41, roll: -175.68
pitch: 0.37, yaw: 6.53, roll: -175.44
pitch: -0.07, yaw: 6.55, roll: -175.85
pitch: 0.46, yaw: 6.32, roll: -175.59
pitch: 0.59, yaw: 5.83, roll: -175.58
pitch: 0.76, yaw: 6.10, roll: -175.40
pitch: 0.18, yaw: 6.00, roll: -175.47
pitch: 0.19, yaw: 6.70, roll: -175.64
pitch: -0.03, yaw: 5.97, roll: -175.88
pitch: 0.14, yaw: 6.38, roll: -175.61
pitch: 0.27, yaw: 6.28, roll: -175.43
pitch: -0.84, yaw: 6.73, roll: -175.90
pitch: -0.32, yaw: 6.28, roll: -175.83
pitch: -0.05, yaw: 6.59, roll: -175.95
pitch: 0.43, yaw: 6.71, roll: -175.92
pitch: 0.04, yaw: 6.58, roll: -175.72
pitch: 0.40, yaw: 6.23, roll: -175.55
pitch: -0.26, yaw: 5.90, roll: -176.04
pitch: 0.08, yaw: 6.10, roll: -175.69
pitch: -0.12, yaw: 6.27, roll: -175.80
pitch: -0.05, yaw: 5.81, roll: -176.04
pitch: 0.10, yaw: 5.40, roll: -175.67
pitch: -0.13, yaw: 5.51, roll: -175.86
pitch: -0.34, yaw: 4.82, roll: -175.81
pitch: 0.54, yaw: 4.49, roll: -175.81
pitch: 0.39, yaw: 5.19, roll: -175.57
pitch: -0.12, yaw: 5.74, roll: -175.48
pitch: -0.16, yaw: 5.92, roll: -175.45
pitch: -0.13, yaw: 6.14, roll: -175.22
pitch: 0.22, yaw: 5.32, roll: -175.27
pitch: -0.56, yaw: 5.54, roll: -175.47
pitch: -0.76, yaw: 5.63, roll: -175.64
pitch: -0.88, yaw: 5.90, roll: -175.84
pitch: -0.91, yaw: 6.20, roll: -175.62
pitch: -0.70, yaw: 5.77, roll: -175.34
pitch: -0.69, yaw: 6.09, roll: -175.16
pitch: -1.02, yaw: 5.84, roll: -175.37
pitch: -1.70, yaw: 6.75, roll: -175.36
pitch: -1.95, yaw: 7.34, roll: -175.40
pitch: -1.22, yaw: 6.93, roll: -175.31
pitch: -1.77, yaw: 7.16, roll: -175.34
pitch: -0.93, yaw: 6.42, roll: -175.29
pitch: -1.79, yaw: 6.95, roll: -175.35
pitch: -1.58, yaw: 6.97, roll: -175.17
pitch: -0.97, yaw: 6.51, roll: -174.87
pitch: -0.88, yaw: 6.58, roll: -175.05
pitch: -1.36, yaw: 6.71, roll: -175.13
pitch: -1.41, yaw: 6.99, roll: -175.35
pitch: -1.53, yaw: 6.97, roll: -175.35
pitch: -1.44, yaw: 6.98, roll: -175.42
pitch: -1.09, yaw: 7.10, roll: -175.49
pitch: -1.35, yaw: 7.29, roll: -175.36
pitch: -1.53, yaw: 6.98, roll: -175.49
pitch: -1.51, yaw: 6.87, roll: -175.53
pitch: -1.31, yaw: 7.15, roll: -175.29
pitch: -1.69, yaw: 6.85, roll: -175.25
pitch: -0.95, yaw: 6.64, roll: -175.19
pitch: -1.09, yaw: 6.56, roll: -175.27
pitch: -1.92, yaw: 6.79, roll: -175.51
pitch: -1.93, yaw: 7.04, roll: -175.47
pitch: -1.49, yaw: 6.74, roll: -175.44
pitch: -2.23, yaw: 6.91, roll: -175.53
pitch: -2.11, yaw: 6.29, roll: -175.56
pitch: -2.24, yaw: 6.44, roll: -175.35
pitch: -2.15, yaw: 6.92, roll: -175.26
pitch: -2.25, yaw: 6.80, roll: -175.26
pitch: -1.03, yaw: 6.92, roll: -174.87
pitch: -1.87, yaw: 6.85, roll: -175.15
pitch: -2.10, yaw: 7.06, roll: -175.47
pitch: -2.16, yaw: 6.77, roll: -175.48
pitch: -1.52, yaw: 7.01, roll: -175.18
pitch: -1.83, yaw: 6.90, roll: -175.37
pitch: -1.84, yaw: 6.93, roll: -175.49
pitch: -1.68, yaw: 7.25, roll: -175.24
pitch: -2.45, yaw: 6.61, roll: -175.45
pitch: -2.43, yaw: 5.64, roll: -175.58
pitch: -2.58, yaw: 6.36, roll: -175.39
pitch: -2.47, yaw: 6.24, roll: -175.75
pitch: -2.79, yaw: 6.06, roll: -175.56
